timestamp,chassis.power_fb.power @ 0x2001C568,chassis.motor_3508[0].fb_current @ 0x2001C1F0,chassis.motor_3508[0].fb_speed @ 0x2001C1E8,chassis.motor_3508[0].give_current @ 0x2001C21C,chassis.power_prediction.model_power[0] @ 0x2001C5B4
15.491350,11.329639,-0.753174,-28.246962,-0.893182,14.658926
15.496488,11.329639,-0.383301,-28.290588,-0.879557,14.011012
15.503166,11.329639,-1.158447,-28.301493,-0.955540,15.400290
15.506785,11.329639,-0.576172,-28.225153,-1.017892,14.861217
15.510249,14.865928,-0.887451,-28.225153,-1.048432,15.709491
15.517982,14.865928,-0.612793,-28.197886,-0.940837,15.485114
15.524211,14.865928,-1.337891,-28.312401,-0.989732,15.328377
15.527736,14.865928,-1.375732,-28.268776,-1.009005,15.441954
15.532077,15.043906,-0.614014,-28.383291,-0.891948,14.634416
15.535499,16.105879,-0.898438,-28.437819,-0.894502,13.921379
15.542417,12.628981,-0.437012,-28.405102,-0.768723,14.311334
15.546433,14.757114,-1.181641,-28.563240,-0.671300,12.399097
15.551647,12.506371,-0.399170,-28.519617,-0.553155,12.155016
15.554982,11.955107,-0.146484,-28.590508,-0.309410,10.530289
15.560258,10.943018,-0.294189,-28.601414,-0.377215,10.975392
15.564467,10.682444,-0.938721,-28.383291,-0.168371,10.290511
15.578329,8.674858,-0.432129,-28.437819,-0.139842,8.999487
15.584977,8.279542,0.050049,-28.257870,-0.269634,9.628467
15.591770,10.205487,-0.183105,-27.957951,-0.535752,11.639510
15.597236,9.739145,-0.725098,-27.870701,-0.740975,13.055487
15.601040,9.739145,-1.221924,-27.903418,-0.794055,13.540693
15.605498,9.739145,-0.784912,-27.985216,-1.204684,14.060116
15.617986,12.767031,-0.659180,-28.197886,-1.084544,15.964388
15.625226,15.348456,-0.919189,-28.426916,-0.996579,15.444582
15.632982,15.348456,-0.839844,-28.508709,-0.928601,14.931454
15.638014,15.348456,-0.606689,-28.601414,-0.731209,13.358710
15.644547,15.348456,-0.421143,-28.552334,-0.535994,12.046970
15.649373,12.991692,-0.596924,-28.497807,-0.492377,11.563318
15.654672,12.040385,-0.860596,-28.426916,-0.472934,11.440160
15.659622,11.073547,-0.256348,-28.383291,-0.396227,10.886786
15.663573,10.743811,-0.189209,-28.301493,-0.583999,12.128220
