timestamp,chassis.power_fb.power @ 0x200009CC,chassis.power_prediction.total_power_raw @ 0x20000A98,chassis.power_prediction.applied_quadratic_raw @ 0x20000A88,chassis.power_prediction.applied_linear_power @ 0x20000A90
7.418066,91.249001,95.000000,1.172080,64.277657
7.420605,93.728844,93.134003,1.114291,55.522808
7.423268,97.305328,85.932449,0.895457,56.587830
7.426024,93.018188,93.649109,1.106416,62.954082
7.428662,90.763000,95.000000,1.142939,64.116951
7.431339,96.021797,95.000000,0.954268,58.852276
7.433991,94.648849,91.763138,1.019051,60.957676
7.436596,92.836334,94.977913,1.133742,63.079346
7.444186,94.771645,91.879822,1.002775,60.790421
7.446716,94.922729,91.531540,0.981720,62.275974
7.449242,93.283981,93.509995,1.087305,63.621101
7.452002,95.498405,90.587662,0.991981,60.916615
7.456424,94.073364,93.446510,0.990801,62.121075
7.462111,95.861534,90.068466,0.889962,58.792976
7.464651,93.952477,94.078529,0.996276,59.018482
7.468446,94.403305,93.136063,0.965940,61.514290
7.471040,95.504044,91.723251,0.918895,59.213165
7.473591,95.243851,90.676392,0.877242,59.668892
7.476138,94.178375,93.544060,0.946591,63.048634
7.485743,95.669464,91.239426,0.953144,62.884621
7.492332,92.658081,95.000000,0.946491,62.802753
7.494848,94.181526,94.999992,0.727997,55.226913
7.497873,97.242706,83.377655,0.627662,51.381313
7.501408,94.413696,94.092842,0.936399,62.746826
7.504474,91.425835,94.999992,0.922987,62.569241
7.506946,92.344910,95.000000,0.924646,62.451385
7.509605,95.583519,94.999992,0.826226,59.173630
7.512347,95.782417,92.708778,0.857208,60.265228
7.514982,94.190933,95.000000,0.914880,62.359776
7.519033,95.054176,89.590897,0.815784,62.283878
7.525704,94.188637,94.999985,0.895026,62.153049
7.531366,93.396454,95.000000,0.893136,62.084110
7.534019,95.450493,93.851677,0.863822,60.999001
7.536771,100.746735,80.139084,0.524447,52.615646
7.539504,91.845100,95.000000,0.890806,62.054127
7.546084,92.504791,95.000000,0.884149,61.926369
7.553010,93.927948,95.000000,0.868089,61.125526
7.555611,94.779907,95.000000,0.870338,61.814861
7.559243,94.854782,95.000000,0.864370,61.831612
7.562038,94.854782,94.999992,0.868667,61.899971
7.564610,94.854782,94.999992,0.871839,61.645538
7.567190,94.854782,94.999992,0.864754,61.627800
7.569779,94.854782,95.050774,0.847963,61.441280
7.575151,94.854782,95.061157,0.846749,61.571262
7.577626,94.854782,95.000000,0.851497,61.510826
7.582403,94.854782,94.999992,0.844897,61.282104
7.587163,94.854782,95.000008,0.835228,61.415306
7.590344,94.854782,95.000000,0.832834,61.473675
7.592966,94.854782,94.999985,0.833374,61.258961
7.595694,94.854782,95.000008,0.827287,61.191071
7.598219,94.854782,94.999985,0.825622,61.222855
7.600826,100.205597,57.530159,0.193528,29.577553
7.604713,82.130829,92.712082,0.770972,61.360470
7.607348,81.318062,95.000000,0.825534,61.296471
7.610721,90.529533,90.031487,0.694449,58.574409
7.613344,90.002747,92.376076,0.818938,61.172161
7.616077,90.015923,95.000000,0.814014,61.094845
7.618637,92.011887,90.033691,0.684438,59.754074
7.621351,90.843903,93.874756,0.709541,57.197884
7.623975,93.678261,81.783028,0.498906,48.001698
7.626613,93.841949,86.537163,0.809657,61.048149
7.629805,88.109932,95.000000,0.808069,60.981560
7.633243,88.615021,95.000000,0.791836,56.911064
7.637171,93.618027,91.144295,0.573823,58.575253
7.643156,88.141251,91.762794,0.702915,50.067944
7.650434,94.731094,90.078049,0.668079,55.876671
7.652974,86.876625,95.052612,0.783110,60.620552
7.655566,89.313850,95.000008,0.781924,60.410851
